f_target,seed,beta,seed_fraction,unserved_fraction,detonated,run_id
0.4,1001,0.3,0.05,0.037065637065637036,True,dcecef7f
0.4,1002,0.3,0.05,1.0,True,71f5968a
0.4,1003,0.3,0.05,1.0,True,b5e090b3
0.4,1004,0.3,0.05,0.013513513513513487,True,0e917132
0.4,1005,0.3,0.05,0.3637065637065636,True,6820e025
0.4,1006,0.3,0.05,0.07181467181467183,True,71e2d3ad
0.4,1007,0.3,0.05,0.07181467181467183,True,de6f9d13
0.4,1008,0.3,0.05,0.3637065637065636,True,21036675
0.4,1009,0.3,0.05,1.0,True,574caa3d
0.4,1010,0.3,0.05,0.3637065637065636,True,fd719c2e
0.4,1011,0.3,0.05,0.07181467181467183,True,62822594
0.4,1012,0.3,0.05,0.013513513513513487,True,3de8699f
0.4,1013,0.3,0.05,1.0,True,04a23368
0.4,1014,0.3,0.05,1.0,True,ce993da1
0.4,1015,0.3,0.05,1.0,True,2f17d1a4
0.4,1016,0.3,0.05,0.07181467181467183,True,9daf09d9
0.4,1017,0.3,0.05,0.3637065637065636,True,4ba60c6c
0.4,1018,0.3,0.05,0.013513513513513487,True,bc77ef1a
0.4,1019,0.3,0.05,1.0,True,aa586ed2
0.4,1020,0.3,0.05,1.0,True,913e29d5
0.4,1021,0.3,0.05,1.0,True,f93a4dfe
0.4,1022,0.3,0.05,1.0,True,68f3857f
0.4,1023,0.3,0.05,0.3637065637065636,True,d7ab9bf0
0.4,1024,0.3,0.05,0.07181467181467183,True,851e2bc3
0.4,1025,0.3,0.05,1.0,True,240eab23
0.4,1026,0.3,0.05,1.0,True,51e85807
0.4,1027,0.3,0.05,1.0,True,f7c7ce6d
0.4,1028,0.3,0.05,0.41583011583011575,True,7c771fe3
0.4,1029,0.3,0.05,1.0,True,13beca3a
0.4,1030,0.3,0.05,1.0,True,dd3924c6
0.4,1031,0.3,0.05,0.037065637065637036,True,a35c2874
0.4,1032,0.3,0.05,0.013513513513513487,True,97d9ffd1
0.4,1033,0.3,0.05,0.3637065637065636,True,f996944f
0.4,1034,0.3,0.05,0.07181467181467183,True,bf5d7755
0.4,1035,0.3,0.05,0.07181467181467183,True,053113fc
0.4,1036,0.3,0.05,0.3772200772200772,True,6139e2ed
0.4,1037,0.3,0.05,1.0,True,f8c171e5
0.4,1038,0.3,0.05,1.0,True,be9dfa37
0.4,1039,0.3,0.05,0.7544401544401544,True,94e8e26e
0.4,1040,0.3,0.05,0.3772200772200772,True,282a6575
0.4,1041,0.3,0.05,0.3637065637065636,True,e9e5c80e
0.4,1042,0.3,0.05,1.0,True,f2fe0dfb
0.4,1043,0.3,0.05,1.0,True,3c5e5637
0.4,1044,0.3,0.05,0.07181467181467183,True,90e7094f
0.4,1045,0.3,0.05,1.0,True,eecfd7a6
0.4,1046,0.3,0.05,0.3637065637065636,True,93d5f882
0.4,1047,0.3,0.05,1.0,True,b978b0e0
0.4,1048,0.3,0.05,0.3637065637065636,True,b365f17e
0.4,1049,0.3,0.05,0.3637065637065636,True,bc9b58db
0.4,1050,0.3,0.05,0.037065637065637036,True,076f4a74
0.4,1051,0.3,0.05,1.0,True,d20a3f6b
0.4,1052,0.3,0.05,1.0,True,25f6b8b6
0.4,1053,0.3,0.05,0.037065637065637036,True,baf66afc
0.4,1054,0.3,0.05,1.0,True,46c2948f
0.4,1055,0.3,0.05,1.0,True,cdda9533
0.4,1056,0.3,0.05,1.0,True,3838fb5f
0.4,1057,0.3,0.05,1.0,True,1a8eb748
0.4,1058,0.3,0.05,0.3637065637065636,True,1eef67bd
0.4,1059,0.3,0.05,1.0,True,87acdaa0
0.5,1000,0.3,0.05,1.0,True,3306ca09
0.5,1001,0.3,0.05,0.07181467181467183,True,172ebb47
0.5,1002,0.3,0.05,1.0,True,2a564e43
0.5,1003,0.3,0.05,1.0,True,962e9253
0.5,1004,0.3,0.05,0.40077220077220066,True,50c33728
0.5,1005,0.3,0.05,0.7544401544401544,True,955360c9
0.5,1006,0.3,0.05,0.07181467181467183,True,c1df1fa3
0.5,1007,0.3,0.05,1.0,True,25043fb1
0.5,1008,0.3,0.05,1.0,True,31580202
0.5,1009,0.3,0.05,1.0,True,c8e3c45e
0.5,1010,0.3,0.05,0.4212355212355212,True,f9169e75
0.5,1011,0.3,0.05,0.07181467181467183,True,b44c856a
0.5,1012,0.3,0.05,0.40077220077220066,True,0fa9d90d
0.5,1013,0.3,0.05,1.0,True,9e55355b
0.5,1014,0.3,0.05,1.0,True,f99b5833
0.5,1015,0.3,0.05,1.0,True,6bc6234a
0.5,1016,0.3,0.05,0.07181467181467183,True,79c99e48
0.5,1017,0.3,0.05,0.4212355212355212,True,768811ad
0.5,1018,0.3,0.05,0.40077220077220066,True,bb424237
0.5,1019,0.3,0.05,1.0,True,1a4f6f26
0.5,1020,0.3,0.05,1.0,True,17387fa4
0.5,1021,0.3,0.05,1.0,True,5d30f0c5
0.5,1022,0.3,0.05,1.0,True,fb3c8571
0.5,1023,0.3,0.05,0.7544401544401544,True,00dae320
0.5,1024,0.3,0.05,0.07181467181467183,True,1bb42690
0.5,1025,0.3,0.05,1.0,True,a8075d40
0.5,1026,0.3,0.05,1.0,True,7d10bfee
0.5,1027,0.3,0.05,1.0,True,b376b6d0
0.5,1028,0.3,0.05,0.8065637065637066,True,6f3e730c
0.5,1029,0.3,0.05,1.0,True,639d51df
0.5,1030,0.3,0.05,1.0,True,454056a7
0.5,1031,0.3,0.05,0.40077220077220066,True,9a3d2db5
0.5,1032,0.3,0.05,0.07181467181467183,True,1d20b1f1
0.5,1033,0.3,0.05,0.7679536679536679,True,6fcc1ae6
0.5,1034,0.3,0.05,1.0,True,2bafd24b
0.5,1035,0.3,0.05,1.0,True,cc48ffda
0.5,1036,0.3,0.05,0.8200772200772201,True,f5339cde
0.5,1037,0.3,0.05,1.0,True,3220f576
0.5,1038,0.3,0.05,1.0,True,c18697b1
0.5,1039,0.3,0.05,0.8065637065637066,True,dd48120f
0.5,1040,0.3,0.05,0.40077220077220066,True,bdc10ea9
0.5,1041,0.3,0.05,0.4212355212355212,True,9659d1d3
0.5,1042,0.3,0.05,1.0,True,d5c1ca31
0.5,1043,0.3,0.05,1.0,True,e3effebe
0.5,1044,0.3,0.05,0.07181467181467183,True,18c8ca6e
0.5,1045,0.3,0.05,1.0,True,a5f0bb90
0.5,1046,0.3,0.05,0.7544401544401544,True,9acdef2c
0.5,1047,0.3,0.05,1.0,True,0dd4bc63
0.5,1048,0.3,0.05,0.4393822393822393,True,a846abea
0.5,1049,0.3,0.05,0.7544401544401544,True,94b32c19
0.5,1050,0.3,0.05,0.07181467181467183,True,77f5a4bc
0.5,1051,0.3,0.05,1.0,True,a7b6b8b7
0.5,1052,0.3,0.05,1.0,True,a6d72b6b
